Timestamp,Institution ,Do you perform more than one behavioral test per day on the same subject or cohort? ," If yes, in which order?  

 e.g., “NTT → Shoaling → LDT” with ~1 hour interval.", How many tests do you typically run on the same subject (fish)?  ,Do you randomize the order of tests? ,What is your reasoning behind the test battery order? ,"What is the average inter-test interval for the same fish? (few minutes, 24h? )",What is the average acclimation time before testing? If animals are acclimated,What is the typical duration of each test used in your behavioral battery (in minutes)? (e.g. NTT 6 min),What are the dimensions of the tanks/apparatus you use (tests used in the behavioral battery)? ,"When testing multiple animals on the same day, do you clean or replace the water in the apparatus between each subject? ", Would you be interested in participating in a multi-lab study of zebrafish test batteries?  
2025/07/28 9:50:42 am GMT-3,University of Surrey,No,N/A,2,Yes,We always run the novel tank test first because of needing to have a novel environment - ie to maximise the novelty of the environment ,One or more days - we don’t test on the same day ,30 min,5 min - 1 hr,Various ,Yes,Yes
2025/07/28 10:25:47 am GMT-3,UFSM - Federal University of Santa Maria,Yes,"If we do, we do not remove the animal from the water and measure NTT, social preference and mirror-induced aggression test, just changing the configuration of apparatuses.",1,Yes,"We use the same fish without removing, from the novelty to the less aversive design",same trial (13 min at most),"After the treatments, no acclimnation.","NTT 6, SPT 2 min, Aggression 5 min",25 lenght x 15 height x 10 width,Yes,Yes
2025/07/28 11:01:11 am GMT-3,i3S,No,,2,No,From the least to the most invasive/ stressful test,24h,30 min -1h,NTT 6 min; LDT 6 min; activity 15 min; shoaling 5 min,"shoaling 24x24 cm; LDT 28x13x15 cm , NTT and mirror biting test 24x12x8 cm",Yes,Yes
2025/07/28 11:12:25 am GMT-3,Universidad de La Fronetra,No,,1,Yes,,24 hrs,1 day,NTT 5 min,14.5 cm height × 27 cm top × 22 cm bottom × 16 cm diagonal × 5 cm width,Yes,Yes
2025/07/28 11:53:30 am GMT-3,UFRN,Yes,"for adults: 
NTT --> social with no interval (6' NTT, remove lateral opaque barriers and record another 6' with fish visual access to a shoal)
NTT --> mirror aggressive response no interval (6' NTT, remove one lateral opaque barrier and record another 6' with fish visual access to a mirror)
social --> mirror response with 1h interval
Open filed --> avoidance with no interval (10'open field followed by negative stimulus and recording for another 10')
for larvae:
open field --> OMR with no interval
OMR --> avoidance with 1h interval",3,Yes,"I perform NTT (or open field) first because fish habituate to the tank and I can extract any second response (social, aggression) without the initial anxiety of the tank novelty ","when I use an interval, it is 1h","Acclimation to the experimental room is 24h, acclimation to the tank (for example open filed) is 15 min ",6 to 10 min,20 x 12 x 16 cm ,Yes,Yes
2025/07/28 12:56:41 pm GMT-3,North-West University,Yes,light/dark preference - novel tank diving (tests follow directly on one another),2,No,"We focus on anxiety-like behaviour. Should the first test amplify such behaviour (this is not the reason for performing more than one test; any behavioural assessment could potentially cause this), it can be measured in the latter. For this reason, the same order is used in all fish. ","In our current induced severe stress model, we test on days 1, 4, 7, 14 and 21 to measure persistence of anxiety-like behaviour.","After acquiring young adult fish: 6 weeks quarantine. Within the lab (dedicated aquatic facility), temperature, water paramaters and light conditions are constant and fish are ""acclimated"" for ten minutes after moving their tanks from the system to mitigate possible effects of handling the tank. Water from the same system is used in the testing aparatus.",6 minutes (both light/dark and novel tank diving),"NTT: due to repeated testing (D1, D4, D7, D14, D21) in the same fish, differently shaped tanks are used to maintain novelty of the tank. These tanks have similar volumes.",Yes,Yes
2025/07/28 4:08:45 pm GMT-3,New York University,No,,1,Yes,Time of the day and orientation of the setup ,Few minutes ,It depends - somewhere from 10 minutes to 1 hour ,10 minutes,Approx 50 cm long and 30 wide ,Depends on test,Yes
2025/07/29 4:47:43 am GMT-3,North West University ,Yes,"NTT, LDT,no interval, ",2,No,,,,,,,
2025/07/29 10:09:55 am GMT-3,UFRGS,Yes,NTT ==> OTT (open tank test); SOCIAL PREFERENCE TEST ==> OTT (with no interval),2,No,"NOVEL TANK: needs a novel environment, novelty component, previous submission to another assay could affect temporal dynamics of geotaxis; SOCIAL PREFERENCE + OTT: primary outcome was social behavior.","No interval, one test followed by the other.","Social preference: first 2 minutes are acclimation in the apparatus. For NTT, no acclimation in the apparatus (only acclimation in the room, and exposure to drug solutions in beakers).","NTT 6 min, SOCIAL PREFERENCE 2 + 5 minutes. OTT 5 or 10 minutes.","NTT 24 × 8 × 20 cm (length × width × height, 18 cm water height), OTT: 24 cm in diameter and 8 cm in height, filled with a 2 cm water column;  SPT: (30 × 10 × 15 cm) positioned between two adjacent tanks (15 × 10 × 13 cm each), water 10 cm high all tanks.",Yes,Yes
2025/07/29 10:54:38 am GMT-3,University of Calicut ,No,,2,Yes,We use same fish for NTT control and test,Few minutes,5 min,NTT 6 min,NTT  15L×15H×6W,Yes,Yes
